test_index,y_true,y_pred,fraud_probability,outcome
0,0,0,7.517843405761996e-09,TN
1,0,0,0.0020141888465895754,TN
2,0,0,0.0007212891576824919,TN
3,0,0,0.0010621097660053545,TN
4,0,0,0.00012302988921169503,TN
5,0,0,7.295822303262815e-05,TN
6,0,0,0.00018431133627664088,TN
7,0,0,6.0845581954504996e-05,TN
8,0,0,9.146280517468276e-05,TN
9,0,0,0.00023891241085207242,TN
10,0,0,0.0004782311015148203,TN
11,0,0,0.0015617877101199967,TN
12,0,0,6.430947153275537e-05,TN
13,0,0,6.0953512917743486e-05,TN
14,0,0,7.279810291515397e-05,TN
15,0,0,0.00012743913892478557,TN
16,0,0,0.00034931959605313833,TN
17,0,0,0.0004043163737924411,TN
18,0,0,6.924155831158881e-05,TN
19,0,0,0.0007991155925673304,TN
20,0,0,1.8590289551144654e-05,TN
21,0,0,6.71168580251455e-05,TN
22,0,0,0.00017371449773318756,TN
23,0,0,0.0006820600389306307,TN
24,0,0,2.4496192176837175e-05,TN
25,0,0,5.1537995080277256e-05,TN
26,0,0,0.0007422130719709298,TN
27,0,0,1.6266664573443784e-06,TN
28,0,0,0.00018453135247855794,TN
29,0,0,4.75782473241145e-05,TN
30,0,0,3.268749787506177e-05,TN
31,0,0,2.0925984268491855e-05,TN
32,0,0,6.323609413433164e-05,TN
33,0,0,0.0007386049848398126,TN
34,0,0,0.0021392379119827116,TN
35,0,0,0.00038794266411330185,TN
36,0,0,0.00042034871401609746,TN
37,0,0,0.0012335750385772488,TN
38,0,0,5.059658996460934e-05,TN
39,0,0,0.00054033828469045,TN
40,0,0,0.00017555099198861596,TN
41,0,0,9.133079958743895e-05,TN
42,0,0,0.0002712982356110091,TN
43,0,0,0.0005646684956921543,TN
44,0,0,0.0002187354883142907,TN
45,0,0,0.00015449757052567834,TN
46,0,0,0.00010148914471037486,TN
47,0,0,7.072010135617833e-05,TN
48,0,0,0.0021620440471980117,TN
49,0,0,0.00016129392725886254,TN
50,0,0,0.00022827892842018738,TN
51,0,0,0.0002956937132557691,TN
52,0,0,0.0011904346539707308,TN
53,0,0,0.0002717987879843447,TN
54,0,0,0.0004131282175751028,TN
55,0,0,9.701701274463717e-05,TN
56,0,0,0.00024818106504025876,TN
57,0,0,0.0005280050812628352,TN
58,0,0,4.099737872205506e-05,TN
59,0,0,0.0006438896271277508,TN
